orth_id	hESC_rep1	hESC_rep2	hESC_rep3	mESC_rep1	mESC_rep2	mESC_rep3
ENSG00000181773__ENSMUSG00000049649	743	736	675	6	6	16
ENSG00000158195__ENSMUSG00000028868	12318	12388	9964	3501	3524	3860
ENSG00000126705__ENSMUSG00000037692	1757	2033	1636	2347	2307	2327
ENSG00000000938__ENSMUSG00000028874	83	68	53	27	19	38
ENSG00000009780__ENSMUSG00000028878	477	369	606	1716	1725	2206
ENSG00000117758__ENSMUSG00000028879	750	635	916	1744	1735	2801
ENSG00000223062__ENSMUSG00000089539	0	0	0	0	0	0
ENSG00000117751__ENSMUSG00000028882	3224	2703	4210	1892	1752	1943
ENSG00000252947__ENSMUSG00000088990	2	1	6	1	5	3
ENSG00000130775__ENSMUSG00000037731	881	909	631	1	3	8
ENSG00000117748__ENSMUSG00000028884	5019	5556	5007	2306	2170	2138
ENSG00000130768__ENSMUSG00000028885	3606	3379	3012	292	306	308
ENSG00000158156__ENSMUSG00000037752	1515	1640	1270	563	512	497
ENSG00000158161__ENSMUSG00000028886	2457	1795	2937	2904	2663	3101
ENSG00000169403__ENSMUSG00000056529	309	284	301	0	2	0
ENSG00000126698__ENSMUSG00000054405	9543	9439	9215	4034	3817	4592
ENSG00000130770__ENSMUSG00000054428	5714	6411	6363	2097	2071	2157
ENSG00000130766__ENSMUSG00000028893	4390	3643	3604	3319	3111	3669
ENSG00000130772__ENSMUSG00000066042	1001	982	711	349	381	356
ENSG00000204138__ENSMUSG00000066043	4340	4207	4324	954	1001	1087
ENSG00000180198__ENSMUSG00000028896	12149	13080	10825	2744	2599	2676
ENSG00000200087__ENSMUSG00000064463	80	75	88	0	0	0
ENSG00000180098__ENSMUSG00000028898	1712	1776	1520	693	663	728
ENSG00000221539__ENSMUSG00000080615	54	62	51	0	0	0
ENSG00000120656__ENSMUSG00000028899	1893	1994	1964	649	625	707
ENSG00000188060__ENSMUSG00000089687	543	441	417	23	21	39
ENSG00000162419__ENSMUSG00000028901	1714	1516	1720	799	821	884
ENSG00000198492__ENSMUSG00000040025	8701	9021	11439	1863	1932	2000
ENSG00000116329__ENSMUSG00000050511	50	36	34	0	3	6
ENSG00000159023__ENSMUSG00000028906	5972	4249	6726	1215	1285	1677
ENSG00000253304__ENSMUSG00000070720	179	215	221	2	9	8
ENSG00000116350__ENSMUSG00000028911	6393	6386	6396	586	550	597
ENSG00000116353__ENSMUSG00000028910	1867	1971	1350	273	235	274
ENSG00000060656__ENSMUSG00000028909	4827	4614	3579	40	65	78
ENSG00000162510__ENSMUSG00000040533	7	8	5	37	21	41
ENSG00000162511__ENSMUSG00000028581	50	62	50	8468	6591	7331
ENSG00000162512__ENSMUSG00000025743	4799	4820	3644	1106	823	1509
ENSG00000134644__ENSMUSG00000028580	7945	6416	9970	4600	4601	4995
ENSG00000084628__ENSMUSG00000078532	4515	4410	3122	1241	1340	1478
ENSG00000060688__ENSMUSG00000074088	7105	7135	6113	2059	2024	2174
ENSG00000121766__ENSMUSG00000028772	4498	4734	4008	421	425	374
ENSG00000121769__ENSMUSG00000028773	3079	1530	2435	9606	8831	13608
ENSG00000168528__ENSMUSG00000023232	2182	2419	1875	60	46	81
ENSG00000142910__ENSMUSG00000028776	468	494	369	86	90	166
ENSG00000121764__ENSMUSG00000028778	5	10	5	0	0	1
ENSG00000162517__ENSMUSG00000028779	4433	4395	3571	501	566	631
ENSG00000084636__ENSMUSG00000040690	872	776	864	3	5	2
ENSG00000121753__ENSMUSG00000028782	1602	1724	1344	6	11	17
ENSG00000134668__ENSMUSG00000028784	55	62	59	0	0	0
ENSG00000184007__ENSMUSG00000028788	8936	7343	10957	4666	4692	5242
